date,tavg_ms,tmin_ms,tmax_ms,prcp_ms,snow_ms,wdir_ms,wspd_ms,wpgt_ms,pres_ms,tsun_ms
2016-01-01,25.8,23.3,28.9,0.3,,,9.4,,1018.8,533.0
2016-01-02,24.9,21.7,28.9,1.8,,,6.5,,,510.0
2016-01-03,22.8,18.3,26.1,26.7,,,7.9,,1014.3,327.0
2016-01-04,18.8,16.1,21.7,1.0,,,12.6,,1014.8,492.0
2016-01-05,18.4,15.6,22.2,7.6,,20.0,18.0,,1019.3,202.0
2016-01-06,20.8,18.3,23.3,3.3,,34.0,13.3,,1017.7,417.0
2016-01-07,19.9,16.7,24.4,0.0,,,7.9,,1015.3,532.0
2016-01-08,21.9,17.2,26.7,0.0,,,8.6,,1012.9,469.0
2016-01-09,23.4,17.8,28.9,0.0,,,7.9,,1012.0,581.0
2016-01-10,23.7,20.0,28.3,9.4,,247.0,12.6,,1014.4,554.0
2016-01-11,19.1,15.0,22.2,1.3,,,13.0,,1019.1,471.0
2016-01-12,16.7,14.4,18.9,4.8,,334.0,10.1,,1020.1,329.0
2016-01-13,18.1,15.6,21.7,0.0,,354.0,10.4,,1020.4,455.0
2016-01-14,19.2,16.7,22.2,1.8,,61.0,10.8,,1018.7,279.0
2016-01-15,22.1,18.3,23.9,37.6,,185.0,15.8,,1011.3,146.0
2016-01-16,20.2,16.7,25.6,0.8,,,7.6,,,504.0
2016-01-17,23.3,15.6,26.1,3.8,,256.0,21.2,,,458.0
2016-01-18,16.1,13.3,18.9,0.0,,326.0,15.1,,1020.1,562.0
2016-01-19,15.0,11.7,17.8,0.0,,347.0,14.8,,1025.3,509.0
2016-01-20,15.3,11.1,22.2,0.0,,,10.4,,1023.6,587.0
2016-01-21,18.6,12.2,23.9,0.0,,,13.3,,1020.8,540.0
2016-01-22,21.1,17.2,22.2,25.1,,183.0,14.8,,,45.0
2016-01-23,17.4,12.2,19.4,0.0,,275.0,19.1,,1012.6,594.0
2016-01-24,12.2,7.8,16.1,0.0,,,13.0,,1021.1,614.0
2016-01-25,14.4,10.0,22.8,0.0,,,11.2,,1023.4,593.0
2016-01-26,22.0,19.4,26.1,0.0,,120.0,18.0,,1021.4,571.0
2016-01-27,24.5,19.4,27.8,20.3,,147.0,18.7,,,406.0
2016-01-28,21.4,19.4,23.3,46.7,,,11.9,,,200.0
2016-01-29,18.1,12.2,20.0,0.0,,,10.1,,,395.0
2016-01-30,16.2,11.1,22.8,0.0,,,8.3,,1020.9,553.0
2016-01-31,20.0,15.0,25.0,0.0,,,9.4,,1019.5,561.0
2016-02-01,22.8,21.7,25.6,17.0,,,7.9,,,398.0
2016-02-02,23.4,20.6,27.2,0.3,,,15.5,,1017.9,567.0
2016-02-03,24.7,22.8,27.2,0.0,,123.0,18.7,,,577.0
2016-02-04,24.4,22.8,27.2,0.0,,145.0,16.2,,1017.9,606.0
2016-02-05,19.7,15.0,23.3,7.9,,,14.4,,1020.2,430.0
2016-02-06,19.8,15.6,26.1,10.4,,,10.4,,1018.6,476.0
2016-02-07,15.7,11.1,18.3,1.0,,295.0,18.4,,,604.0
2016-02-08,13.9,10.0,20.0,0.0,,287.0,12.2,,1018.4,626.0
2016-02-09,16.9,15.6,19.4,0.0,,264.0,14.8,,1017.3,561.0
2016-02-10,15.6,12.8,17.8,0.0,,304.0,11.5,,1022.5,604.0
2016-02-11,14.3,10.0,21.7,0.0,,,8.3,,1025.6,630.0
2016-02-12,17.6,12.8,23.9,0.0,,,5.8,,1024.5,633.0
2016-02-13,18.6,11.7,24.4,0.0,,,7.6,,1022.9,634.0
2016-02-14,19.2,15.0,22.8,0.0,,,16.9,,1022.1,585.0
2016-02-15,21.4,20.0,23.9,1.5,,105.0,23.4,,1018.1,513.0
2016-02-16,23.3,18.3,26.7,15.5,,239.0,11.9,,,512.0
2016-02-17,21.3,16.1,25.0,0.0,,,7.6,,1018.8,603.0
2016-02-18,20.1,16.1,26.1,0.0,,,13.0,,1023.2,620.0
2016-02-19,21.3,18.9,24.4,0.8,,59.0,19.1,,1025.3,566.0
2016-02-20,21.7,18.9,24.4,0.0,,80.0,16.2,,1023.6,509.0
2016-02-21,22.3,17.8,26.1,0.0,,,13.0,,1020.3,654.0
2016-02-22,23.1,19.4,26.7,0.0,,121.0,14.4,,1016.3,
2016-02-23,23.8,22.2,27.2,10.4,,140.0,19.1,,1013.5,
2016-02-24,25.6,21.1,30.0,7.4,,185.0,18.4,,,569.0
2016-02-25,20.0,15.0,21.1,0.3,,305.0,16.9,,1019.1,653.0
2016-02-26,17.2,13.3,21.7,0.0,,320.0,12.2,,1022.6,660.0
2016-02-27,15.8,10.0,21.7,0.0,,324.0,12.2,,1022.3,661.0
2016-02-28,18.6,15.0,22.8,0.0,,46.0,12.2,,1022.7,593.0
2016-02-29,20.6,17.2,25.6,0.0,,,10.1,,1020.9,603.0
2016-03-01,21.1,16.7,26.7,0.0,,,8.3,,1019.9,626.0
2016-03-02,22.8,17.8,28.3,0.0,,,6.1,,1018.7,647.0
2016-03-03,23.4,20.0,27.2,0.0,,,9.0,,1017.4,500.0
2016-03-04,24.3,21.1,29.4,0.0,,,9.4,,1015.5,606.0
2016-03-05,22.6,18.3,25.6,0.3,,26.0,12.6,,1017.3,615.0
2016-03-06,22.5,18.3,27.2,0.0,,,12.2,,1019.1,676.0
2016-03-07,21.6,18.3,25.6,0.0,,77.0,21.6,,1022.9,659.0
2016-03-08,23.1,21.1,26.7,0.0,,98.0,25.9,,1022.8,562.0
2016-03-09,23.8,22.2,27.2,0.0,,108.0,27.4,,1022.3,614.0
2016-03-10,24.3,22.8,28.9,0.0,,113.0,27.4,,1022.6,659.0
2016-03-11,24.2,22.2,27.2,0.0,,107.0,22.3,,1022.4,669.0
2016-03-12,24.6,22.8,27.2,0.0,,118.0,19.8,,1020.5,674.0
2016-03-13,24.7,22.8,29.4,0.0,,,13.3,,,549.0
2016-03-14,25.2,21.7,30.0,0.0,,,12.2,,1017.0,656.0
2016-03-15,25.4,21.1,31.1,0.3,,,7.9,,1016.7,610.0
2016-03-16,25.3,21.7,30.6,0.0,,,7.9,,,616.0
2016-03-17,24.9,21.1,30.6,0.0,,,7.6,,1016.5,654.0
2016-03-18,25.5,20.6,31.7,0.0,,,7.6,,1014.8,651.0
2016-03-19,26.4,23.3,31.1,0.0,,,13.0,,1012.7,644.0
2016-03-20,25.5,22.2,30.0,4.6,,216.0,15.5,,1012.5,467.0
2016-03-21,19.9,14.4,23.3,0.3,,325.0,18.0,,1019.0,609.0
2016-03-22,17.9,13.9,24.4,0.0,,38.0,17.6,,1024.8,691.0
2016-03-23,23.1,19.4,27.2,0.0,,97.0,19.4,,1022.8,681.0
2016-03-24,24.7,23.3,27.8,0.8,,119.0,19.1,,1018.1,573.0
2016-03-25,26.1,24.4,30.6,0.0,,151.0,11.5,,1015.8,556.0
2016-03-26,26.5,22.8,30.6,0.0,,123.0,15.5,,1018.6,679.0
