date,tavg_ms,tmin_ms,tmax_ms,prcp_ms,snow_ms,wdir_ms,wspd_ms,wpgt_ms,pres_ms,tsun_ms
2016-01-01,-3.1,-6.7,-0.6,0.0,51.0,247.0,23.8,,1023.1,
2016-01-02,-1.8,-5.6,0.6,0.0,51.0,249.0,18.8,,1018.9,
2016-01-03,-2.1,-4.4,-0.6,0.0,51.0,314.0,18.8,,1021.6,
2016-01-04,-1.8,-3.9,0.0,0.0,51.0,4.0,18.1,,1031.7,
2016-01-05,-2.4,-6.1,1.1,0.0,25.0,177.0,15.3,,1033.4,
2016-01-06,0.3,-3.9,3.9,0.0,25.0,187.0,13.0,,1026.2,
2016-01-07,4.2,2.2,6.1,0.0,25.0,147.0,11.3,,1019.1,
2016-01-08,5.9,3.9,7.8,5.8,0.0,160.0,11.9,,,
2016-01-09,3.2,-2.8,6.7,9.1,25.0,,14.7,,,
2016-01-10,-9.4,-15.6,-2.8,0.0,25.0,289.0,28.5,,1015.3,
2016-01-11,-10.9,-16.7,-3.3,3.3,76.0,219.0,17.0,,1017.0,
2016-01-12,-10.9,-15.0,-5.6,0.3,76.0,279.0,26.0,,,
2016-01-13,-10.6,-16.7,-1.7,0.0,51.0,220.0,14.7,,1018.7,
2016-01-14,3.2,-2.2,7.2,0.0,0.0,203.0,17.8,,1005.4,
2016-01-15,3.7,0.0,6.1,1.3,0.0,239.0,20.1,,998.6,
2016-01-16,-2.1,-10.0,0.0,0.0,0.0,291.0,20.6,,1011.8,
2016-01-17,-14.8,-17.2,-10.0,0.0,0.0,290.0,25.6,,1020.9,
2016-01-18,-15.8,-18.9,-12.2,0.0,0.0,278.0,20.0,,1028.3,
2016-01-19,-12.0,-16.7,-7.8,0.0,0.0,,9.9,,1033.3,
2016-01-20,-7.2,-10.6,-3.9,1.3,25.0,,4.3,,1026.9,
2016-01-21,-5.2,-8.9,0.0,0.0,25.0,,4.7,,1028.7,
2016-01-22,-2.0,-6.1,0.0,0.5,25.0,26.0,17.9,,1025.4,
2016-01-23,-1.4,-4.4,1.7,0.0,0.0,,9.7,,1022.9,
2016-01-24,-1.1,-4.4,2.8,0.0,0.0,203.0,13.4,,1016.4,
2016-01-25,2.2,-1.7,6.1,2.3,0.0,180.0,15.9,,1009.5,
2016-01-26,-0.7,-2.8,3.3,0.3,0.0,265.0,25.8,,1016.5,
2016-01-27,-1.0,-3.3,1.7,0.0,0.0,234.0,20.0,,1021.2,
2016-01-28,2.0,-0.6,5.0,0.3,0.0,271.0,23.9,,1007.0,
2016-01-29,-0.6,-4.4,2.8,0.0,0.0,,16.6,,1013.5,
2016-01-30,5.4,2.2,9.4,0.0,0.0,218.0,14.4,,1005.4,
2016-01-31,6.2,1.7,9.4,0.8,0.0,223.0,15.1,,1003.1,
