date,tavg_ms,tmin_ms,tmax_ms,prcp_ms,snow_ms,wdir_ms,wspd_ms,wpgt_ms,pres_ms,tsun_ms
2020-01-15,7.8,6.0,10.0,,,,,,,
2020-01-16,6.0,1.0,9.0,,,,,,,
2020-01-17,-3.5,-6.0,1.0,,,,,,,
2020-01-18,-3.0,-7.0,3.0,,,,,,,
2020-01-19,3.1,-2.0,6.0,,,,,,,
2020-01-20,-3.9,-7.0,-1.0,,,,,,,
2020-01-23,4.7,1.0,8.0,,,,,,,
2020-01-25,6.1,3.0,11.0,,,,,,,
2020-01-26,5.3,4.0,8.0,,,,,,,
2020-01-27,4.8,3.0,7.0,,,,,,,
2020-01-30,-0.3,-4.0,3.0,,,,,,,
2020-01-31,4.0,1.0,7.0,,,,,,,
2020-02-01,5.0,3.0,6.0,,,,,,,
2020-02-02,3.7,2.0,7.0,,,,,,,
2020-02-03,9.0,3.0,13.0,,,,,,,
2020-02-04,10.7,6.0,16.0,,,,,,,
2020-02-05,5.2,4.0,9.0,,,,,,,
2020-02-06,3.6,2.0,5.0,,,,,,,
2020-02-07,4.4,1.0,13.0,,,,,,,
2020-02-08,1.6,-1.0,4.0,,,,,,,
2020-02-09,3.0,-1.0,6.0,,,,,,,
2020-02-10,6.8,6.0,8.0,,,,,,,
2020-02-11,7.4,7.0,9.0,,,,,,,
2020-02-13,4.5,3.0,7.0,,,,,,,
2020-02-14,-1.5,-8.0,4.0,,,,,,,
2020-02-15,-4.8,-9.0,-1.0,,,,,,,
2020-02-16,2.9,-1.0,7.0,,,,,,,
2020-02-17,6.5,3.0,10.0,,,,,,,
2020-02-19,5.8,1.0,9.0,,,,,,,
2020-02-20,0.0,-3.0,9.0,,,,,,,
2020-02-21,-1.9,-7.0,2.0,,,,,,,
2020-02-22,4.4,-1.0,10.0,,,,,,,
2020-02-23,8.5,4.0,13.0,,,,,,,
2020-02-24,10.0,5.0,16.0,,,,,,,
2020-02-25,9.1,8.0,11.0,,,,,,,
2020-02-26,7.8,6.0,8.0,,,,,,,
2020-02-27,3.7,-1.0,6.0,,,,,,,
2020-02-28,1.4,-2.0,5.0,,,,,,,
2020-03-01,1.6,-4.0,6.0,,,,,,,
2020-03-02,9.8,4.0,14.0,,,,,,,
2020-03-03,11.8,9.0,15.0,,,,,,,
2020-03-04,10.0,8.0,13.0,,,,,,,
2020-03-05,7.0,4.0,11.0,,,,,,,
2020-03-06,4.8,3.0,7.0,,,,,,,
2020-03-07,4.8,2.0,9.0,,,,,,,
2020-03-09,14.9,8.0,22.0,,,,,,,
2020-03-11,10.4,6.0,13.0,,,,,,,
2020-03-12,7.9,7.0,9.0,,,,,,,
2020-03-13,13.1,7.0,21.0,,,,,,,
2020-03-14,9.2,6.0,13.0,,,,,,,
2020-03-15,8.2,6.0,12.0,,,,,,,
2020-03-16,4.1,1.0,7.0,,,,,,,
2020-03-17,8.6,5.0,12.0,,,,,,,
2020-03-18,8.4,6.0,12.0,,,,,,,
2020-03-19,8.2,5.0,11.0,,,,,,,
