,DATE,STATION,TMAX,TMIN,PRCP,TOBS,WT03,DAPR,MDPR
0,2016-01-01,USC00086315,83,74,0.00,74,,,
1,2016-01-02,USC00086315,83,70,0.00,71,,,
2,2016-01-03,USC00086315,82,68,0.00,68,,,
3,2016-01-04,USC00086315,82,62,0.50,62,,,
4,2016-01-05,USC00086315,72,58,0.10,58,,,
5,2016-01-06,USC00086315,71,58,0.32,67,,,
6,2016-01-07,USC00086315,72,62,0.22,62,,,
7,2016-01-08,USC00086315,74,61,0.00,66,,,
8,2016-01-09,USC00086315,79,64,0.00,64,,,
9,2016-01-10,USC00086315,83,64,0.95,69,,,
10,2016-01-11,USC00086315,82,58,0.20,58,,,
11,2016-01-12,USC00086315,71,57,0.55,57,,,
12,2016-01-13,USC00086315,65,57,0.06,61,,,
13,2016-01-14,USC00086315,72,57,0.00,61,,,
14,2016-01-15,USC00086315,74,61,0.05,73,,,
15,2016-01-16,USC00086315,74,61,1.20,61,,,
16,2016-01-17,USC00086315,76,59,0.15,75,,,
17,2016-01-18,USC00086315,78,55,0.30,55,,,
18,2016-01-19,USC00086315,66,55,0.00,55,,,
19,2016-01-20,USC00086315,66,51,0.00,52,,,
20,2016-01-21,USC00086315,71,51,0.00,56,,,
21,2016-01-22,USC00086315,73,56,0.00,67,,,
22,2016-01-23,USC00086315,71,59,1.40,60,,,
23,2016-01-24,USC00086315,65,46,0.00,47,,,
24,2016-01-25,USC00086315,59,44,0.00,48,,,
25,2016-01-26,USC00086315,74,48,0.00,71,,,
26,2016-01-27,USC00086315,78,69,0.00,74,,,
27,2016-01-28,USC00086315,79,66,1.32,70,,,
28,2016-01-29,USC00086315,73,62,1.30,62,,,
29,2016-01-30,USC00086315,63,51,0.00,52,,,
30,2016-01-31,USC00086315,72,52,0.00,68,,,
31,2016-02-01,USC00086315,76,52,0.30,71,,,
32,2016-02-02,USC00086315,74,69,0.75,69,,,
33,2016-02-03,USC00086315,79,69,0.00,74,,,
34,2016-02-04,USC00086315,80,72,0.00,74,,,
35,2016-02-05,USC00086315,80,58,0.50,59,,,
36,2016-02-06,USC00086315,69,58,0.00,60,,,
37,2016-02-07,USC00086315,78,54,0.25,54,,,
38,2016-02-08,USC00086315,63,46,0.00,46,,,
39,2016-02-09,USC00086315,66,46,0.00,61,,,
40,2016-02-10,USC00086315,65,55,0.00,55,,,
41,2016-02-11,USC00086315,63,48,0.00,55,,,
42,2016-02-12,USC00086315,68,52,0.00,54,,,
43,2016-02-13,USC00086315,74,52,0.00,52,,,
44,2016-02-14,USC00086315,74,52,0.00,63,,,
45,2016-02-15,USC00086315,71,63,0.00,68,,,
46,2016-02-16,USC00086315,74,68,0.00,73,,,
47,2016-02-17,USC00086315,79,63,1.45,63,,,
