"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-01","3.4",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"5.6",",,W","1.1",",,W",,,"  290",",,W","  300",",,W","7.6",",,W","11.6",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-02","3.0",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"4.4",",,W","0.0",",,W",,,"  290",",,W","  270",",,W","6.7",",,W","10.3",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-03","3.5",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"7.2",",,W","1.7",",,W",,,"  270",",,W","  240",",,W","7.6",",,W","11.6",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-04","3.8",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"2.2",",,W","-9.9",",,W",,,"   40",",,W","   40",",,W","9.4",",,W","13.9",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-05","2.3",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"-1.6",",,W","-11.6",",,W",,,"   10",",,W","   20",",,W","8.9",",,W","13.4",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-06","1.6",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"5.0",",,W","-3.8",",,W",,,"  250",",,W","  250",",,W","5.8",",,W","8.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-07","1.1",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"7.8",",,W","-0.5",",,W",,,"  260",",,W",,,"3.1",",,W",,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-08","1.9",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"7.8",",,W","-0.5",",,W",,,"   80",",,W","   80",",,W","6.3",",,W","9.4",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-09","3.6",",,W",,,"0.0","T,,W,2400","0.0",",,W,","0.0",",,W,",,,"8.3",",,W","4.4",",,W",,,"   70",",,W","   80",",,W","6.7",",,W","8.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-10","4.4",",,W",,,"45.7",",,W,2400","0.0",",,W,","0.0",",,W,",,,"15.0",",,W","4.4",",,W",,,"  280",",,W","  290",",,W","9.8",",,W","15.7",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-11","4.7",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"4.4",",,W","-3.2",",,W",,,"  280",",,W","  280",",,W","8.9",",,W","15.7",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-12","2.7",",,W",,,"0.0",",,W,2400","0.0","T,,W,","0.0",",,W,",,,"6.7",",,W","-3.8",",,W",,,"  290",",,W","  280",",,W","9.8",",,W","15.7",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-13","4.4",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"-1.0",",,W","-5.5",",,W",,,"  280",",,W","  260",",,W","9.4",",,W","15.7",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-14","2.2",",,W",,,"0.0",",,W,2400","0.0","T,,W,","0.0",",,W,",,,"3.3",",,W","-5.5",",,W",,,"  260",",,W","  280",",,W","6.7",",,W","10.3",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-15","2.3",",,W",,,"0.0","T,,W,2400","0.0",",,W,","0.0",",,W,",,,"10.6",",,W","1.1",",,W",,,"  170",",,W","  170",",,W","5.4",",,W","8.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-16","3.0",",,W",,,"6.1",",,W,2400","0.0",",,W,","0.0",",,W,",,,"11.1",",,W","5.6",",,W",,,"  310",",,W","  270",",,W","6.7",",,W","9.8",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-17","2.5",",,W",,,"1.3",",,W,2400","10.0",",,W,","0.0",",,W,",,,"5.6",",,W","-1.0",",,W",,,"   60",",,W","   10",",,W","5.8",",,W","8.5",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-18","5.3",",,W",,,"0.0","T,,W,2400","0.0","T,,W,","0.0","T,,W,",,,"-0.5",",,W","-7.7",",,W",,,"  290",",,W","  280",",,W","9.8",",,W","15.7",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-19","4.9",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0","T,,W,",,,"-2.1",",,W","-8.8",",,W",,,"  280",",,W","  280",",,W","8.9",",,W","15.2",",,W",,,,,,,,,,,,,,
