"type","Settled_Time","Market_Title","Result","Profit_In_Dollars","Yes_Contracts_Owned","Yes_Contracts_Average_Price_In_Cents","No_Contracts_Owned","No_Contracts_Average_Price_In_Cents","Status","Amount_In_Dollars","Market_Id","Original_Date","Filled","Canceled_By_You","Canceled_By_NSF","Canceled_By_Closing","Original_Placed","Remaining","Price_In_Cents","Fee_In_Dollars","Traded_Time","Direction","Deposit_Type","Last_Updated"
"Settlement","2024-04-01T12:01:15.209379Z","Will the **high temp in Miami** be <75° on Mar 31 2024?","no","0.00","10","50.00","0","0.00","","","","","","","","","","","","","","","",""
"Settlement","2024-04-01T12:01:08.084944Z","Will the **high temp in Austin** be <79° on Mar 31 2024?","no","0.00","10","50.00","0","0.00","","","","","","","","","","","","","","","",""
"Settlement","2024-04-01T12:01:00.594687Z","Will the **high temp in NYC** be <57° on Mar 31 2024?","no","0.00","10","45.10","0","0.00","","","","","","","","","","","","","","","",""
"Settlement","2024-04-01T12:00:52.064325Z","Will the high temp in Chicago be >50° on Mar 31 2024?","yes","0.00","0","0.00","0","0.00","","","","","","","","","","","","","","","",""
"Order","","Will the high temp in Chicago be >50° on Mar 31 2024?","","","","","","","Canceled ","","3f5f2cee-e8b3-4eab-878f-a023d526c571","31 Mar 2024","0","0","0","10","10","0","","","","","",""
"Order","","Will the **high temp in Austin** be <79° on Mar 31 2024?","","","","","","","Filled ","","206085a8-64a1-4218-918e-a62d128db265","31 Mar 2024","10","0","0","0","10","0","","","","","",""
"Trade","","Will the **high temp in Austin** be <79° on Mar 31 2024?","","","","","","","","10","206085a8-64a1-4218-918e-a62d128db265","31 Mar 2024","","","","","","","50","0.00","Mar 31, 2024 at 6:38PM EDT","Yes","",""
"Order","","Will the **high temp in Miami** be <75° on Mar 31 2024?","","","","","","","Filled ","","be16c328-2722-4aa1-8604-9217ff032011","31 Mar 2024","10","0","0","0","10","0","","","","","",""
"Trade","","Will the **high temp in Miami** be <75° on Mar 31 2024?","","","","","","","","9","be16c328-2722-4aa1-8604-9217ff032011","31 Mar 2024","","","","","","","50","0.00","Mar 31, 2024 at 3:26PM EDT","Yes","",""
"Order","","Will the **high temp in NYC** be <57° on Mar 31 2024?","","","","","","","Filled ","","3707db62-6eae-4d9e-b837-d1e797d714ae","31 Mar 2024","10","0","0","0","10","0","","","","","",""
"Trade","","Will the **high temp in NYC** be <57° on Mar 31 2024?","","","","","","","","1","3707db62-6eae-4d9e-b837-d1e797d714ae","31 Mar 2024","","","","","","","50","0.00","Mar 31, 2024 at 2:53PM EDT","Yes","",""
"Trade","","Will the **high temp in NYC** be <57° on Mar 31 2024?","","","","","","","","1","3707db62-6eae-4d9e-b837-d1e797d714ae","31 Mar 2024","","","","","","","50","0.00","Mar 31, 2024 at 2:48PM EDT","Yes","",""
"Trade","","Will the **high temp in Miami** be <75° on Mar 31 2024?","","","","","","","","1","be16c328-2722-4aa1-8604-9217ff032011","31 Mar 2024","","","","","","","50","0.00","Mar 31, 2024 at 2:44PM EDT","Yes","",""
